# Calibration Result File
# Int Gain [dB]: 30
# RBW [Hz]: 1000000
# Ext ATT [dB]: 30.0
# Ext Gain [dB]: 0.0
# Date: 2026-04-21 19:58:54
# Note: Pluto Spectrum App Calibration
frequency_hz,measured_power_dbm,reference_power_dbm,calibration_offset_db
100000000,-8.120090,-6.400000,1.720090
200000000,-5.651227,-4.200000,1.451227
300000000,-5.813095,-5.300000,0.513095
400000000,-5.779146,-4.900000,0.879146
500000000,-5.547118,-5.200000,0.347118
600000000,-5.559459,-5.900000,-0.340541
700000000,-5.638575,-6.400000,-0.761425
800000000,-5.338873,-6.800000,-1.461127
900000000,-5.653789,-6.900000,-1.246211
1000000000,-5.623980,-6.900000,-1.276020
1100000000,-5.447228,-7.300000,-1.852772
1200000000,-5.261608,-7.500000,-2.238392
1300000000,-5.764983,-8.000000,-2.235017
1400000000,-6.654668,-8.000000,-1.345332
1500000000,-6.921843,-7.900000,-0.978157
1600000000,-7.275011,-8.000000,-0.724989
1700000000,-7.681478,-8.000000,-0.318522
1800000000,-8.168316,-8.500000,-0.331684
1900000000,-8.551337,-8.600000,-0.048663
2000000000,-8.963630,-8.800000,0.163630
2100000000,-9.426700,-9.100000,0.326700
2200000000,-9.996294,-9.800000,0.196294
2300000000,-10.537936,-10.000000,0.537936
2400000000,-11.024046,-9.900000,1.124046
2500000000,-11.422745,-10.300000,1.122745
2600000000,-11.761862,-10.200000,1.561862
2700000000,-11.944838,-10.800000,1.144838
2800000000,-12.127785,-11.700000,0.427785
2900000000,-12.791167,-10.800000,1.991167
3000000000,-13.066519,-10.300000,2.766519
3100000000,-13.445039,-10.900000,2.545039
3200000000,-13.769540,-10.500000,3.269540
3300000000,-14.215830,-10.600000,3.615830
3400000000,-14.653205,-8.600000,6.053205
3500000000,-15.288493,-8.300000,6.988493
3600000000,-15.743844,-9.100000,6.643844
3700000000,-16.196545,-9.400000,6.796545
3800000000,-16.859589,-9.200000,7.659589
3900000000,-17.504924,-9.200000,8.304924
4000000000,-17.810511,-9.500000,8.310511
4100000000,-12.430140,-9.800000,2.630140
4200000000,-13.042280,-10.600000,2.442280
4300000000,-13.364380,-11.100000,2.264380
4400000000,-13.504053,-11.300000,2.204053
4500000000,-13.895501,-11.500000,2.395501
4600000000,-13.740645,-11.000000,2.740645
4700000000,-13.670965,-10.800000,2.870965
4800000000,-13.582993,-10.600000,2.982993
4900000000,-13.576578,-10.800000,2.776578
5000000000,-13.754138,-10.600000,3.154138
5100000000,-13.950298,-9.600000,4.350298
5200000000,-14.301759,-11.500000,2.801759
5300000000,-14.772506,-12.200000,2.572506
